CASEID,v161116,v161121,v161236,v161158x,v161126,v161342,v161310a,v161270,v161215,v162011,v162010,v162012,v162013,v162014,v162016,v162017,v162018a,v162196,v162018b,v162019,v162216,v162215
300001, 5, 2, 5, 7,99, 1, 1, 9, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
300002, 3, 1, 1, 6, 5, 1, 1,13, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3
300003, 2, 1, 3, 3,99, 1, 1, 9, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1
300004, 3, 3, 3, 5,99, 1, 1, 9, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 4, 2
300006, 2, 5, 2, 3, 4, 2, 1, 9, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300007, 5, 2, 5, 5, 6, 1, 0,14, 5, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 1
300008, 1, 3, 1, 1,99, 1, 0, 5, 4, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 3, 3
300012, 3, 1, 4, 4, 5, 2, 1, 9, 5, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 4, 2
300018, 5, 2, 3, 5, 4, 1, 1, 9, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300020, 2, 3, 1, 3, 3, 2, 1,10, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 4, 2
300021, 4, 2, 4, 5,99, 2, 1, 7, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300023, 2, 4, 1, 3, 2, 2, 1,10, 2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
300026, 2, 3, 2, 5, 4, 1, 0,13, 4, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 4, 4
300030, 5, 1, 2, 2,99, 1, 1,12, 5, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1
300034, 1, 4, 2, 1, 2, 2, 1,14, 4, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 4, 4
300038, 2, 1, 1, 1,99, 1, 1, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3
300039, 2, 5, 2, 1, 2, 1, 1,14, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 4, 4
300040, 4, 2, 2, 7, 6, 1, 1,13, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
300041, 2, 5, 2, 1, 3, 2, 1,14, 4, 2, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 4, 3
300042, 4, 4, 2, 6,99, 2, 1,10, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
