"","birth_yr","registered_voter","gender","race_eth","educ","pid7","ideology","income","facets_1","facets_2","facets_3","facets_4","facets_5","facets_6","facets_7","facets_8","facets_9","facets_10","facets_11","facets_12","facets_13","facets_14","facets_15","facets_16","facets_17","facets_18","facets_19","facets_20","big_five_1","big_five_2","big_five_3","big_five_4","big_five_5","big_five_6","big_five_7","big_five_8","big_five_9","big_five_10","vote","prefered_candidate","talk_politics","display_sign","persuade_vote","donate","written_politician","vote_2012","abortion","birth_citizenship","gay_marriage","affirmative_action","guns","global_warming","anger","breakfast_control","anger_politics","salience","cand_strong_position","compromise","blame_other_party","govt_corrupt","govt_unresponsive","govt_satisfied","vote_likelihood_2016","talk_about_2016","donate_likelihood16","display_yard_sign16","work_campaign16","attend_rally16"
"2","1990","1","2","2","6","2","1","2","5","2","3","4","3","3","5","4","2","4","2","3","3","4","2","4","3","4","3","2","3","3","4","2","2","3","4","1","1","2","2","2","1","1","1","2","1","2","1","2","2","3","1","3","","","The best","","3","2","5","8","9","7","4","5","2","5","2","6"
"3","1980","1","1","1","6","1","1","14","5","4","5","4","5","5","4","4","5","3","2","1","2","3","4","5","4","5","4","5","7","6","7","6","7","6","7","6","7","7","1","1","4","1","1","2","1","1","1","1","1","2","1","2","","","Yes","","1","1","3","9","8","9","2","2","1","1","2","1"
"4","1985","1","1","1","6","2","2","11","4","5","5","5","4","4","5","4","4","4","4","4","5","5","4","5","5","5","5","4","6","7","7","6","6","6","7","6","7","7","1","1","3","1","1","1","1","1","1","1","2","2","2","1","","Good","","","2","1","2","9","9","10","1","1","2","2","3","1"
"5","1978","1","1","1","2","3","3","7","4","2","2","2","3","4","4","4","3","5","3","4","3","2","3","4","4","4","4","2","5","3","6","2","7","4","5","3","6","2","2","1","2","2","2","2","2","1","4","3","2","2","1","2","","","I am upset that Trump was elected as the Republican candidate. It makes out country look like a joke.","","3","3","6","5","5","4","2","4","7","7","6","6"
"6","1995","1","2","2","2","1","1","1","5","1","1","1","1","5","5","1","5","5","1","1","1","1","1","1","1","-99","5","1","1","4","1","1","7","7","7","1","7","1","1","1","2","2","2","2","2","2","1","2","1","1","1","1","","I ate some cereal.","","","1","1","1","10","10","10","1","1","1","1","1","1"
"7","1979","1","2","1","5","2","2","11","5","4","5","4","5","4","5","4","1","4","2","2","1","2","1","4","2","1","4","4","7","6","6","6","7","6","7","2","7","6","1","1","4","1","2","2","2","1","1","1","1","2","3","1","","","","The policy should govern for citizens","2","1","1","3","6","7","2","2","4","3","3","3"
"8","1993","1","1","1","1","1","1","12","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","Excellent","","","2","1","1","6","7","8","1","2","1","1","1","1"
"9","1986","1","2","1","2","3","1","7","5","4","4","5","4","2","2","2","2","4","4","4","5","3","4","2","2","2","3","3","7","5","6","7","6","1","6","5","5","4","1","2","3","2","1","1","1","1","4","1","1","2","1","1","I keep getting forced overtime. For 16 weeks straight. With little to no work to do. I feel disrespected and unappreciated. I cant get what i need to accomplished at home because my job haa no respect for my personal life","","","","2","2","6","9","7","3","1","1","3","7","6","6"
"10","1981","1","1","1","6","1","1","10","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","4","5","7","7","6","6","7","7","6","7","7","7","2","8","4","1","1","1","2","1","2","1","1","1","1","1","","dghghdhdgghddgh","","","1","1","1","9","8","9","2","1","2","1","2","1"
"11","1984","1","2","1","4","1","1","7","5","2","2","3","2","5","4","4","5","5","3","3","3","2","3","3","4","3","5","4","7","7","7","5","6","4","5","6","6","3","1","1","-99","-99","-99","2","2","1","2","2","1","3","1","1","I feel very angry when the things don't going in the way I want","","","","1","1","7","2","2","7","1","1","3","1","2","2"
