CASEID,DEM_RACEETH,CANDAFF_ANGDPCOFT,CANDAFF_ANGRPCOFT,PID_X,EFFICPO_CARESTD,DEM_EDUGROUP,GENDER_RESPONDENT,LIBCPRE_SELF,DHSINVOLV_CONTACT1,MOBILPO_RMOB,MOBILPO_SIGN,DHSINVOLV_MARCH,DHSINVOLV_NETPETITION,MOBILPO_OTHERWORK,MOBILPO_CTBPTY,MOBILPO_CTBCAND,MOBILPO_CTBOTH,MOBILPO_RALLY,DHSINVOLV_BOARD,TRUSTGOV_TRUSTGSTD
   1, 2,-1, 1, 1,-6, 1,2, 1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6, 2
   2, 2,-1, 4, 1, 1, 1,1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2,-1
   3, 2,-1, 4, 1, 4, 3,2,-2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2,-1
   4, 2,-1,-1, 1,-1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
   5, 2,-1,-1, 3, 2, 2,1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2,-1
   6, 2,-1,-1, 4,-1, 1,1,-8, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-8
   7, 2,-1, 4, 1, 3, 1,2,-2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2,-1
   8, 2,-1,-1, 3, 2, 1,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
   9, 2,-1,-1, 1, 2, 4,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  10, 1,-1,-1, 6, 4, 5,1, 6, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2,-1
  11, 1, 4,-1, 5,-1, 4,1, 4, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  12, 1, 4,-1, 5,-1, 5,1, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  13, 1,-1, 4, 2,-1, 3,2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2
  14, 1,-1,-1, 4,-1, 3,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  15, 1, 2,-1, 7, 1, 4,2, 6, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2,-1
  16, 1, 1,-1, 6,-1, 5,1, 6, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  17, 1, 2, 4, 6, 1, 5,1, 6, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2,-1
  18, 1,-1, 2, 1,-1, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  19, 1, 3,-1, 6, 4, 1,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  20, 4,-1, 2, 3, 1, 1,2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  21, 1, 4,-1, 7,-1, 3,1, 6, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 3
  22, 1, 2,-1, 3,-1, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
  23, 1,-1,-1, 2, 2, 2,1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
  24, 1, 4,-1, 1,-6, 1,2,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6, 3
  25, 1,-1,-1, 4,-1, 1,1, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  26, 1, 4, 4, 2,-6, 3,1, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
  27, 1, 4,-1, 5, 4, 3,1, 6, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
  28, 1, 1,-1, 7, 2, 3,2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  29, 1, 4, 3, 4, 1, 1,1,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2,-1
  30, 1, 4, 2, 3, 3, 3,1, 5, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2,-1
  31, 2, 4, 3, 3, 5, 4,2, 5, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1,-1
  32, 4,-1,-1, 3,-1, 3,2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  33, 2,-1,-1, 3,-1, 3,2,-2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 3
  34, 3,-1, 5, 3, 1, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  35, 3,-1,-1, 2,-1, 2,1,-2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2
  36, 3, 4,-1, 4,-1, 3,2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
  37, 3,-1,-1, 3,-1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
  38, 3,-1, 2, 3, 2, 1,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  39, 3,-1,-1, 2,-1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  40, 3,-1, 4, 4,-1, 3,2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  41, 4, 2,-1, 7,-1, 4,2, 5, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 3
  42, 1,-1,-1, 1, 4, 4,2, 3, 2, 1, 2, 2,-8, 2, 1, 1, 2, 2, 2,-1
  43, 3,-1, 4, 2,-1, 4,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
  44, 1, 2, 1, 5,-1, 4,2, 6, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3
  45, 1, 2,-1, 6,-1, 2,2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  46, 4, 2,-1, 6,-1, 4,2, 7, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2
  47, 1, 4,-1, 7, 1, 4,2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  48, 1, 1,-1, 5, 1, 4,1, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  49, 1, 3, 4, 6, 2, 3,2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  50, 4, 1,-1, 7,-1, 3,2, 6, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 3
  51, 3,-1,-1, 2,-1, 3,1, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
  52, 1, 2,-1, 6,-1, 3,1, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
  53, 3, 2, 2, 5,-1, 3,2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 4
  54, 1, 4,-1, 4, 3, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  55, 4, 3,-1, 4, 1, 2,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  56, 3,-1, 4, 1,-1, 1,1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
  57, 3,-1,-1, 7, 2, 2,2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
  58, 3,-1,-1, 2, 1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  59, 1,-1,-1, 2,-1, 4,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  60, 1, 4, 3, 1,-1, 5,1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3
  61, 1, 1,-1, 7,-1, 1,1, 7, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  62, 4,-1, 1, 1, 1, 1,1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2,-1
  63, 1, 2, 1, 1, 4, 1,2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2,-1
  64, 1, 4,-1, 7,-1, 4,2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
  65, 1, 4,-1, 5,-1, 3,1, 4, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3
  66, 4, 4,-1, 4, 1, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  67, 1,-1, 3, 1,-1,-2,2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  68, 3,-1, 3, 1,-1, 3,2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
  69, 3,-1,-1, 2,-1, 2,1,-8, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  70, 4,-1, 4, 2,-1, 3,2, 6, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  71, 3,-1, 4, 3,-1, 3,1, 4, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3
  72, 3,-1,-1, 1, 3, 2,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  73, 1, 2, 4, 4,-1, 3,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
  74, 3,-1, 2, 1,-1, 1,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  75, 1,-1,-1, 6, 2, 3,2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
  76, 3, 4,-1, 2, 2, 5,2, 4, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1,-1
  77, 1, 2,-1, 5, 1, 3,2, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
  78, 1,-1,-1, 4, 2, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  79, 1, 2,-1, 7,-1, 2,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3
  80, 1, 4,-1, 2, 2, 2,1, 3, 2,-8, 1, 2, 2, 2, 2, 2, 2, 1, 1,-1
  81, 3,-1, 4, 1, 4, 4,1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2,-1
  82, 1,-1,-1, 4,-6, 2,1,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
  83, 1, 4, 2, 1, 5, 5,1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  84, 4,-1,-1, 4,-1, 2,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1
  85, 1,-1,-1, 7, 4, 4,2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  86, 1,-1,-1, 2,-1, 4,1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  87, 2,-1, 4, 2,-1, 2,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  88, 1, 4, 4, 5,-1, 3,2, 6, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2
  89, 4, 4, 4, 6, 2, 3,1, 5, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2,-1
  90, 4,-1,-1, 5, 2, 2,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  91, 1, 2, 4, 7, 3, 2,1, 7, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2,-1
  92, 1,-1,-1, 7, 2, 3,2, 6, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1,-1
  93, 1, 3,-1, 3,-6, 1,2,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6, 3
  94, 1,-1,-1, 2, 1, 1,1, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  95, 2,-1,-1, 5,-1, 3,1, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
  96, 2,-1, 1, 1,-1, 3,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
  97, 1,-1,-1, 6, 2, 2,2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1,-1
  98, 1, 4,-1, 7, 1, 4,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
  99, 4,-1,-1, 3,-1, 3,1,-2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3
 100, 1,-1,-1, 4,-1, 2,2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
 101, 1,-1,-1, 6, 4, 2,1, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 102, 1, 2,-1, 7,-1, 4,2, 6, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 3
 103, 1,-1,-1, 7,-1, 3,2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 104, 1, 3,-1, 6, 3, 2,1,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 105, 1, 1,-1, 7,-1, 2,1, 7, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 3
 106, 1,-1,-1, 3,-1, 3,1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 4
 107, 2,-1, 4, 1, 4, 3,2,-2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2,-1
 108, 2,-1,-1, 2,-1, 4,1, 4, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3
 109, 2,-1,-1, 1,-6, 3,2,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6, 3
 110, 2,-1, 2, 1, 5, 1,2,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 111, 2, 4, 3, 1, 1, 3,2,-2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1,-1
 112, 2,-1, 1, 1, 1, 2,2,-2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2,-1
 113, 2,-1,-1, 1, 4, 4,2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 114, 3, 4,-1, 5, 2, 5,1, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 115, 1,-1, 4, 2, 2, 4,2, 3, 2, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1,-1
 116, 2,-1,-1, 1,-6, 1,2,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 117, 1,-1, 4, 2,-1, 2,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 118, 1, 4, 5, 1,-1, 2,1, 7, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 119, 1,-1,-1, 2, 1,-2,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 120, 1, 4, 4, 5, 2, 5,2, 6, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2,-1
 121, 1,-1, 4, 1, 3, 3,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 122, 1, 4,-1, 3, 1, 4,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 123, 3,-1,-1, 1,-6, 1,1, 2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 124, 1,-1, 4, 2, 3, 2,1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 125, 1, 4,-1, 7, 4, 2,1, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 126, 1, 4, 4, 2,-6, 4,1,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 127, 1,-1,-1, 3, 2, 3,2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 128, 4,-1,-1, 1, 2, 2,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 129, 3,-1,-1, 4,-1, 2,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 130, 1,-1, 4, 5, 2, 3,2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 131, 1,-1,-1, 1, 4, 5,1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2,-1
 132, 1, 4, 2, 3,-1, 3,2, 3, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 3
 133, 3,-1, 4, 1,-1, 4,2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 134, 4,-1,-1, 4,-1, 3,2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
 135, 1,-1,-1, 3, 2, 4,2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 136, 1,-1,-1, 4,-1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 137, 1, 4,-1, 5, 4, 2,2, 7, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2,-1
 138, 2,-1, 3, 1, 4, 1,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 139, 2,-1, 2, 3,-1, 3,2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 140, 4, 4, 4, 5,-1, 3,1, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 141, 1,-1,-1, 5,-1, 2,1, 4, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3
 142, 1,-1,-1, 1,-1, 4,1, 4, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2
 143, 1, 4,-1, 5,-1, 2,1, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 144, 1,-1,-1, 6,-1, 4,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
 145, 1, 3,-1, 6, 2, 3,1, 3, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 146, 2,-1,-1, 1, 4, 4,2, 5, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2,-1
 147, 3, 4,-1, 6, 2, 3,1,-2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2,-1
 148, 2,-1, 1, 1,-1, 3,2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 149, 4,-1, 3, 2, 1, 3,2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 150, 2,-1, 2, 1,-1, 4,2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 3
 151, 3,-1, 1, 2,-1, 1,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 152, 1, 4,-1, 7,-1, 3,2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 153, 1,-1,-1, 7,-1, 4,2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 154, 1,-1,-1, 4,-1, 1,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 155, 1, 4, 3, 4, 1, 2,1, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 156, 1, 4, 4, 2,-1, 1,2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 157, 1,-1, 2, 1,-1, 3,2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 158, 1,-1,-1, 4,-6, 1,2,-2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6, 3
 159, 1,-1, 1, 2,-1, 3,1, 4, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3
 160, 1,-1,-1, 3,-1, 1,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 161, 1,-1,-1, 4,-1, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 162, 1, 3,-1, 2, 2, 2,2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 163, 1,-1,-1,-2,-1, 4,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 164, 3, 3, 4, 2, 3, 1,2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 165, 1, 4,-1, 3, 1, 3,1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 166, 1, 2, 4, 5, 1, 4,2, 6, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2,-1
 167, 4,-1,-1, 4,-1, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 168, 1,-1,-1, 6,-1, 4,1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 169, 1,-1, 2, 1,-1, 2,1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 170, 4,-1,-1, 3, 3, 1,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 171, 1, 2,-1, 7,-1, 4,1, 6, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 3
 172, 1,-1,-1, 5,-1, 4,1, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 173, 1,-1,-1, 7, 4, 4,2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 174, 1, 4,-1, 6, 4, 5,1, 5, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2,-1
 175, 1, 4, 4, 6,-1, 3,2, 5, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3
 176, 1, 3,-1, 5,-1, 3,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 177, 1, 4, 3, 1,-1, 3,1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 178, 1,-1,-1, 3,-1, 2,2, 3, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 3
 179, 1,-1,-1, 5,-1, 4,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 180, 1,-1,-1, 3, 4, 4,1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 181, 1, 4, 2, 7,-1, 4,1, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
 182, 4, 4,-1, 6,-1, 2,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3
 183, 1, 4, 4, 3,-6, 2,2, 4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 184, 1, 4,-1, 5, 2, 3,2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 185, 1, 4,-1, 4, 3, 2,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 186, 1, 4, 3, 2, 2, 4,1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 187, 1,-1,-1, 2,-1, 2,1,-2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3
 188, 1, 2,-1, 6,-1, 4,1, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 189, 1,-1,-1, 5,-1, 2,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 190, 1,-1, 2, 1,-1, 2,2, 3, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 3
 191, 1, 4, 4, 5, 2, 3,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1,-1
 192, 1,-1,-1, 2, 2, 4,2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 193, 1,-1,-1,-2, 1, 3,1,-2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2,-1
 194, 1, 1,-1, 5,-1, 2,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
 195, 1,-1,-1, 1, 2, 3,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 196, 3,-1, 4, 2, 2, 1,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 197, 1,-1, 4, 1,-1, 3,1,-2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 198, 2,-1,-1, 3, 1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 199, 1,-1,-1, 3,-1, 5,1,-2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3
 200, 1, 2, 4, 6, 2, 4,2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 201, 1, 4,-1, 6,-6, 5,2, 5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1
 202, 3,-1,-1, 7, 1, 3,2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1,-1
 203, 2, 4,-1, 4, 2, 1,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 204, 1, 4, 4, 5,-1, 3,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3
 205, 1,-1,-1, 5,-1, 2,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 206, 1,-1, 4, 3,-1, 3,2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 3
 207, 1, 1, 3, 4,-1, 4,1, 4, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 4
 208, 1,-1, 3, 3, 4, 3,1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 209, 1, 4,-1, 6,-1, 5,1, 5, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3
 210, 1, 4, 4, 1, 1, 5,1, 3, 2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2,-1
 211, 1, 4,-1, 5, 2, 5,2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,-1
 212, 1,-1, 2, 3,-1, 4,1, 4, 2, 2, 2, 2,-8, 2, 2, 2, 2, 2, 2, 2
 213, 4,-1,-1, 4,-1, 4,1,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
 214, 4,-1,-1, 4,-1, 1,2,-2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4
